180,1954,49,42,7,1,0,3,3
80,852,69,25,4,1,0,2,2
187,2158,29,51,15,4,0,4,3
106,1288,36,46,12,3,0,3,2
178,873,50,42,6,1,0,3,3
104,520,35,51,11,2,0,3,2
169,3258,31,50,13,0,0,4,3
177,576,80,15,3,1,0,4,3
68,190,35,46,15,2,0,0,1
123,1452,58,29,7,3,0,4,3
260,1335,63,22,9,4,0,5,3
303,2876,50,29,11,5,0,4,3
157,3102,59,33,5,1,2,3,3
74,514,35,51,10,3,0,3,1
109,370,29,54,12,3,0,3,2
188,1260,75,20,3,1,0,4,3
178,335,60,25,10,2,3,4,3
134,938,59,27,6,5,3,4,3
169,2117,41,39,12,5,3,2,3
200,698,55,37,6,1,0,3,3
112,996,55,30,8,4,3,4,2
139,2806,35,45,13,4,0,4,3
206,3252,54,34,8,2,0,4,3
119,1041,45,46,7,1,0,2,2
80,272,38,44,14,3,1,3,2
170,1343,54,32,8,0,0,4,3
135,1090,69,25,4,1,0,3,3
133,2190,67,27,4,1,0,3,3
117,1263,28,43,18,6,5,3,2
122,292,58,30,7,1,4,0,3
320,972,80,15,3,1,0,4,3
422,511,47,41,9,2,0,3,3
204,1522,54,37,1,0,0,3,3
212,1630,28,50,16,3,0,4,3
135,262,79,19,1,0,0,3,3
230,1790,78,18,2,1,0,4,3
234,1073,77,19,3,1,0,4,3
90,825,50,39,8,2,1,3,2
186,574,88,10,1,0,0,4,3
243,872,80,15,3,1,0,4,3
121,599,43,46,2,0,0,3,3
149,457,62,28,7,1,0,4,3
180,493,49,41,7,2,0,3,3
95,863,38,44,11,3,0,1,2
161,646,32,50,12,4,0,3,3
276,679,90,9,1,0,0,4,3
156,2062,78,18,2,1,0,3,3
186,1972,61,33,4,0,0,3,3
221,1090,55,32,8,3,0,5,3
276,331,87,10,1,0,0,4,3
141,2387,48,39,2,0,0,3,3
130,855,41,37,14,0,0,0,3
132,1250,46,44,8,1,0,2,3
161,453,48,39,7,4,2,4,3
166,1349,82,15,1,0,0,3,3
164,103,61,28,3,6,2,0,3
242,573,40,42,13,0,0,4,3
92,1127,58,33,6,2,1,3,2
93,1358,24,56,15,3,2,3,2
199,820,50,36,9,3,2,4,3
242,573,40,42,13,0,0,4,3
237,368,52,34,10,3,1,4,3
69,300,34,52,11,0,0,3,1
86,139,70,24,1,0,0,3,2
90,297,67,25,2,1,0,0,2
165,685,44,45,6,3,2,4,3
177,1775,43,44,10,2,1,4,3
237,1169,55,25,11,6,3,4,3
246,824,38,12,7,5,0,4,3
285,375,79,17,2,1,0,4,3
98,723,31,48,15,3,0,3,2
181,1172,46,45,7,1,0,3,3
130,2464,72,23,1,0,0,3,3
275,904,43,23,16,10,8,4,3
152,1223,55,37,6,1,0,3,3
221,839,62,25,7,4,0,5,3
216,817,50,40,8,1,0,3,3
121,991,30,46,12,0,0,3,3
336,1662,61,31,6,0,0,3,3
80,181,53,37,8,1,0,3,2
143,864,29,50,14,3,0,3,3
140,795,68,26,4,1,0,3,3
189,1111,47,38,10,3,2,4,3
