109,1951,49,42,7,1,0,3,2
70,851,69,25,4,1,0,2,1
162,2158,29,51,15,4,0,4,3
84,873,50,42,6,1,0,3,2
80,1287,36,46,12,3,0,3,2
99,520,35,51,11,2,0,3,2
176,3255,31,50,13,0,0,4,3
144,574,80,15,3,1,0,4,3
68,190,35,46,15,2,0,0,1
109,1451,58,29,7,3,0,4,2
265,2875,50,29,11,5,0,4,3
334,1334,63,22,9,4,0,5,3
102,3101,59,33,5,1,2,3,2
74,513,35,51,10,3,0,3,1
152,1260,75,20,3,1,0,4,3
69,370,29,54,12,3,0,3,1
110,335,60,25,10,2,3,4,2
141,938,59,27,6,5,3,4,3
170,696,55,37,6,1,0,3,3
115,2805,35,45,13,4,0,4,2
112,996,55,30,8,4,3,4,2
119,2117,41,39,12,5,3,2,2
190,3250,54,34,8,2,0,4,3
81,1041,45,46,7,1,0,2,2
170,1342,54,32,8,0,0,4,3
57,272,38,44,14,3,1,3,1
99,1262,28,43,18,6,5,3,2
94,2190,67,27,4,1,0,3,2
104,1089,69,25,4,1,0,3,2
340,844,92,5,1,0,0,5,3
112,292,58,30,7,1,4,0,2
204,1629,28,49,16,4,3,4,3
120,262,79,19,1,0,0,3,3
123,510,47,41,9,2,0,3,3
124,1520,54,37,1,0,0,3,3
58,1127,58,33,6,2,1,3,1
119,456,62,28,7,1,0,4,2
218,972,80,15,3,1,0,4,3
160,1790,78,18,2,1,0,4,3
164,574,88,10,1,0,0,4,3
188,871,80,15,3,1,0,4,3
158,1074,76,19,3,1,0,4,3
83,598,43,46,2,0,0,3,2
78,825,50,39,8,2,1,3,1
82,863,38,44,11,3,0,1,2
121,2061,78,18,2,1,0,3,3
109,1969,61,33,4,0,0,3,2
224,679,90,9,1,0,0,4,3
80,491,49,41,7,2,0,3,2
170,1090,55,32,8,3,0,5,3
89,1358,24,56,15,3,2,3,2
160,329,87,10,1,0,0,4,3
84,1250,46,44,8,1,0,2,2
142,820,50,36,9,3,2,4,3
94,102,62,28,3,5,0,0,2
93,453,48,39,7,4,2,4,2
104,1349,82,15,1,0,0,3,2
97,646,32,50,12,4,0,3,2
99,2387,48,39,2,0,0,3,2
67,855,41,37,14,0,0,0,1
202,1074,76,19,3,1,0,4,3
166,1747,78,18,2,1,0,4,3
100,274,83,14,2,0,1,4,2
102,3101,59,33,5,1,2,3,2
88,1405,56,37,5,1,0,3,2
149,2204,49,39,8,2,0,4,3
99,520,35,51,11,2,0,3,2
161,1325,77,18,3,1,0,4,3
190,3250,54,34,8,2,0,4,3
134,921,75,22,1,0,0,4,3
239,721,42,39,12,4,3,4,3
135,1321,45,40,10,3,2,4,3
176,3255,31,50,13,0,0,4,3
138,790,49,41,8,0,0,3,3
103,513,35,51,10,3,0,3,2
104,1517,50,39,8,2,1,3,2
172,1661,61,31,6,0,0,3,3
229,511,72,23,1,0,0,4,3
110,1262,28,43,18,6,5,3,2
190,1412,70,24,1,0,0,4,3
